"number","CODE_POSTAL"
1012,"69002"
10036,"69100"
2018,"69002"
2030,"69002"
8051,"69200"
7057,"69007"
17001,"69190"
7052,"69007"
7001,"69007"
6036,"69006"
7005,"69007"
8052,"69003"
6011,"69006"
7061,"69007"
10013,"69100"
2005,"69002"
1032,"69001"
5030,"69005"
8039,"69008"
7062,"69007"
2002,"69002"
3087,"69003"
9004,"69009"
8002,"69008"
10007,"69100"
9033,"69009"
5001,"69005"
3018,"69003"
